Drug	Gene
D09ZWH	T01575
D06VAQ	T01597
D0V6DJ	T01777
D0B6FM	T01777
D0D1RU	T01777
D06QKW	T01777
D0QH0X	T01777
D05QTJ	T01777
D0C1SE	T01777
D0L5MW	T01777
D0L7IZ	T01777
D0F5TA	T01777
D0M9IC	T01777
D0MU4A	T01777
D08ZRA	T01777
D0R2HZ	T01777
D0P3HP	T01777
D0L9WN	T01777
D0S4VR	T01777
D0E8HU	T01777
D07OAF	T01777
D03YLQ	T01777
D0B2BO	T01777
D09DKC	T01777
D02EMH	T01777
D00DPJ	T01777
D0E3OL	T01777
D0FU5E	T01777
D02YIW	T01777
D0M8FL	T01777
D0SG6A	T01777
D07GXY	T01777
D0PN9R	T01777
D0C9DC	T01777
D09JZG	T01777
D02ALD	T01777
D06BWZ	T01777
D06HHJ	T01777
D0LI3J	T01777
D0Y8DJ	T01777
D0E0KG	T01777
D0P8BE	T01777
D01KAX	T01777
D0U9IJ	T01777
D0Y0ZQ	T01777
D0U0QI	T01777
D0AE9M	T01777
D0R1XT	T01777
D07ICV	T01777
D02VCK	T01777
D0A6GK	T01777
D03DVJ	T01777
D03LRY	T01777
D0Y4LU	T01777
D0M6YW	T01777
D09CUJ	T01777
D03HBZ	T01777
D03ABH	T01777
D0A5TM	T01777
D0L7SY	T01777
D0D0YM	T01777
D06WOJ	T01777
D04RBQ	T01777
D07RLW	T01777
D0TN2R	T01777
D0ZS3M	T01777
D08KLH	T01777
D0P5PW	T01777
D0GP1I	T01777
D03EPY	T01777
D0I3XA	T01777
D0B3ZF	T01777
D02LHR	T01777
D06SYS	T01777
D09NNH	T01777
D06OFS	T01777
D0Z7EA	T01777
D0Z7XI	T01777
D02QXT	T01777
D0QO8X	T01777
D03LPH	T01777
D07SYG	T01777
D0NN8N	T01777
D0F2ML	T01777
D0Y4DY	T01777
D09BIV	T01777
D0E9PK	T01777
D06HRY	T01777
D05GDP	T01777
D0Y2JI	T01777
D01BVI	T01777
D0V0NJ	T01777
D03QMR	T01777
D0ZC4S	T01777
D0ZT8D	T01777
D05IHU	T01777
D02KIS	T01777
D01WJZ	T01777
D02XMM	T01777
D0AE3X	T01777
D00BWF	T01777
D01ZNH	T01777
D08OWQ	T01777
D0U1NA	T01777
D04PYQ	T01777
D0W5IN	T01777
D0V3IT	T01777
D0K9JP	T01777
D07SZJ	T01777
D0V8NS	T01777
D09XED	T01851
D0R3CY	T01851
D0B4JU	T01851
D0V4HO	T01908
DK6P5A	T01908
D0B9EH	T01908
D05FYR	T01908
D00DRL	T01973
D00JBC	T02001
D0NJ3V	T02001
D0E5VP	T02001
D08SNX	T02001
D01XHG	T02001
D0F5IY	T02001
D0IZ8X	T02001
D01XFZ	T02001
D03ZVD	T02001
D01QUF	T02001
D0F7TV	T02001
D09TFB	T02001
D0O8JW	T02001
D0L8KJ	T02001
D0K9DI	T02001
D0N7HS	T02001
D00TQR	T02001
D00DBE	T02001
D02ZPV	T02001
D0R1QJ	T02001
D0I0GM	T02001
D0JD4C	T02001
D0W7WV	T02001
D0U4SS	T02001
D0X0PW	T02001
D0M7CB	T02001
D00JED	T02001
D0U2DH	T02001
D0Z2FB	T02001
D0UG4T	T02001
D0T5PO	T02001
D0P2HX	T02001
D00YPW	T02001
D01FXD	T02001
D0K1OA	T02001
D0C7JT	T02001
D0F4TV	T02001
D0R6MT	T02001
D07OCV	T02001
D0Z6VR	T02134
D0WI3W	T02134
D0GV9Q	T02134
D0W5NW	T02258
D0W5NW	T02258
D0W5NW	T02258
D0W5NW	T02258
D0W5NW	T02258
D0W5NW	T02258
D0W5NW	T02258
D0W5NW	T02258
D06PZZ	T02262
D09DHT	T02262
D0O2TC	T02262
D08AMH	T02318
D0BW2C	T02333
D0O7XO	T02333
D0O1LU	T02333
D0Z6WI	T02333
D05ECK	T02333
D02LIR	T02439
D05FXD	T02446
D0X8BU	T02446
DPN2R7	T02469
D03SUQ	T02469
D0GD1A	T02532
D0TL3X	T02532
D06FTK	T02532
D07LUR	T02532
D0GC3E	T02532
D0D6MO	T02532
D0EC2K	T02546
D0S4MN	T02546
D0Y4AU	T02546
D01YPT	T02546
D0G9WE	T02546
D0YA8J	T02546
D0N0KO	T02546
D0B9UU	T02546
D0RO2K	T02546
D0H5QU	T02546
D06KAD	T02546
D0Z5LN	T02546
D0KH1D	T02546
D07EQF	T02546
D0M5VF	T02546
D05PRQ	T02546
D0O9VW	T02546
D03ZOJ	T02551
D06LQH	T02551
D0TU5W	T02551
D01WJZ	T02551
D0UZ1I	T02551
D0R1PZ	T02551
D0E1RX	T02551
D0MC2R	T02551
D0G3MH	T02551
D07RYR	T02551
D00SDJ	T02551
D0Q3GV	T02551
D0W1HM	T02551
D06ZWG	T02551
D00QMQ	T02551
D0S1XN	T02551
D05UUW	T02551
D0B9DR	T02551
D0T1TU	T02551
D0EE6L	T02551
D0WU9R	T02551
D04RBU	T02551
D0K5EE	T02551
D0O9BZ	T02551
D0H2WQ	T02551
D03RIO	T02551
D0OW1R	T02551
D0O7DA	T02551
D0M2BB	T02551
D0V1SD	T02551
D0Q5IP	T02551
DD5VO3	T02551
D0LV7U	T02551
D0X1QW	T02551
D0T2MV	T02551
D0J1HP	T02551
D0T3JW	T02551
D0HI1K	T02551
D0O4BC	T02551
D0V4NW	T02551
D01KIH	T02551
D0M3PV	T02551
D03PYX	T02551
D0P3IZ	T02551
D0H3KU	T02551
D04PBA	T02551
D07UUQ	T02551
D01ZSF	T02551
D0YB0K	T02551
D05IPO	T02551
D0M2ZE	T02551
D0I4VT	T02551
D0O1PM	T02551
D0IU8V	T02551
D00CDM	T02551
D01URS	T02551
D0Y6SN	T02551
D0C0UM	T02551
D03AZY	T02551
D0Q7FM	T02551
D00HUV	T02551
D0PV6G	T02551
D0G2LT	T02551
D0FH3X	T02551
D0L7OM	T02551
D05BCJ	T02551
D05QJK	T02551
D02YDU	T02551
D0R8UU	T02551
D0T2RY	T02551
D03EDW	T02551
D0M7SY	T02551
D0S5ZE	T02551
D05EQG	T02551
D0M8LN	T02551
D0S7WZ	T02551
D06NTB	T02551
D0WD6J	T02551
D07GQP	T02551
D08TCX	T02551
D0D2CU	T02551
D07GXY	T02551
D0M5XV	T02551
D07XQS	T02551
D0HG4U	T02551
D0G8NN	T02551
D03JOS	T02551
D0F6WV	T02551
D06WLB	T02551
D04CPW	T02551
D05NQX	T02551
D05HMW	T02551
D0HV3A	T02551
D04UXX	T02551
D00XEN	T02551
D03GES	T02551
D0F9QT	T02551
D05XGO	T02551
D04CTN	T02551
D0Q2GP	T02551
D0R9EQ	T02551
D0B4SL	T02551
D09PJF	T02551
D0L5MW	T02551
D0P0IX	T02551
D0PN9R	T02551
D07ISL	T02551
D06HTJ	T02551
D0FU2V	T02551
D09AQJ	T02551
D05NED	T02551
D09FTZ	T02551
D07LRJ	T02551
D0Z2WQ	T02551
D0I9JH	T02562
D00MBY	T02562
D0I3LQ	T02565
D03YRO	T02703
D0T3QN	T02703
D06JZQ	T02703
D07FVL	T02703
D0R9KX	T02703
D05VAB	T02703
D05LPK	T02703
D0SB5H	T02703
D0UP8X	T02703
D0O9II	T02703
D0Y7VJ	T02703
D05APC	T02703
D08ISP	T02703
D0OW8M	T02703
D0N8EU	T02703
D0M4BM	T02703
D0C3CS	T02703
D09NRX	T02703
D0L5KY	T02703
D05SCE	T02703
D0N3HU	T02703
D0O3XZ	T02703
D0C1OB	T02703
D0D7PK	T02703
D06HBT	T02703
D07BLJ	T02703
D09ZKS	T02703
D05QJT	T02703
D01TDC	T02703
D0R5XK	T02703
D05PZA	T02703
D0K4YY	T02703
D00GYE	T02703
D0D9LT	T02703
D0F3XT	T02703
D0J3BY	T02703
D03ODQ	T02703
D0J2RI	T02703
D03MJJ	T02703
D0K4SV	T02703
D0LE6N	T02703
D0I7VD	T02703
D07OQX	T02703
D01ILO	T02703
D0J7NS	T02703
D0GL9I	T02703
D0GX7G	T02703
D0X5QJ	T02703
D02TMX	T02703
D08WEI	T02703
D07SDQ	T02703
D03HCR	T02703
D0L4RU	T02703
D07NCV	T02703
D08CMQ	T02703
D03CAJ	T02703
D01EHS	T02703
D02EOF	T02703
D0G4ZL	T02703
D0X6MB	T02703
D0AO5D	T02703
D0DD9E	T02703
D03JXX	T02703
D00PEC	T02703
D05ZYA	T02703
D08PZX	T02703
D0IR4Y	T02703
D08DQZ	T02703
D0Y0FS	T02703
D01DFX	T02703
D0O2KO	T02703
D02ELA	T02703
D0I3ZP	T02703
D00EVC	T02703
D08FXW	T02703
D0D0TO	T02703
D02MFQ	T02703
D0LB9U	T02703
D08UWE	T02703
D0K1CM	T02703
D0V5HI	T02703
D0XJ1C	T02703
D0X6QY	T02703
D0W5UJ	T02703
D06VYU	T02703
D0VB2W	T02703
D0E0QG	T02703
D0W6VA	T02703
D01YNT	T02703
D09OWC	T02703
D02ZGN	T02703
D03YZT	T02703
D03EHB	T02703
D06EXH	T02703
D02UVH	T02703
D0V0NL	T02703
D03WOZ	T02703
D08ALG	T02703
D02DQQ	T02703
D0Y2AO	T02703
D0S7MJ	T02703
D0L9SL	T02703
D07VFC	T02703
D03QSQ	T02703
D01EBY	T02703
D09BKV	T02703
D01XOR	T02703
D00KOE	T02703
D04JZV	T02703
D0U8TM	T02703
D04PBI	T02703
D02FHX	T02703
D03FJM	T02703
D07MFH	T02703
D07INO	T02703
D02TYS	T02703
D0D3CJ	T02703
D0U8OA	T02703
D04JZY	T02703
D0UU1I	T02703
D03QMU	T02703
D01MEA	T02703
D0JZ3S	T02703
D09YEQ	T02719
D0T3DG	T02719
D08OTE	T02719
D0J8OW	T02719
D02FCY	T02719
D0C3JX	T02719
D01WKR	T02719
D0U5CS	T02719
D0B6RA	T02719
D04DKM	T02719
D06UJA	T02719
D0Z7CZ	T02719
D06PAK	T02719
D07GRG	T02719
D0N9UZ	T02719
D0R0IB	T02719
D0P4BQ	T02719
D0H3FH	T02719
D0N5CW	T02719
D06DUE	T02719
D0H8AI	T02728
D02WCJ	T02728
D08ZIH	T02728
D04LEF	T02728
D0G0TS	T02728
D0OT9G	T02728
D0OJ7S	T02728
D0T2RY	T02728
D0W9II	T02728
D0P5VL	T02728
D0H7EB	T02728
D0N4RF	T02728
D09RSL	T02728
D0S9PC	T02728
D0V4HB	T02728
D0A3DE	T02728
D0X3RW	T02728
D05HYV	T02728
D0B4SQ	T02728
D0C2IA	T02752
D0Y6TI	T02752
D04EIL	T02752
D0O2SR	T02777
D0N5YA	T02777
D0S6SU	T02777
D04JGA	T02777
D06OIV	T02777
D0P2MH	T02777
D0MT0A	T02777
D0B2GI	T02777
D09IRQ	T02779
D0D0LH	T02808
D0BW9V	T02891
D08PJK	T02891
D09ADW	T03023
D05LXG	T03150
D0U3NI	T03279
D0C2GE	T03279
D09AID	T03279
D02VBF	T03279
D0C5VQ	T03346
D0UL2L	T03403
D0H0IA	T03403
D0U5OU	T03403
D01IRW	T03403
D0X4JN	T03403
D00BDC	T03403
D08IFL	T03403
D0G2MW	T03403
D0LR4B	T03403
D0M9DC	T03403
D06FJO	T03403
D03XYW	T03403
D0M6JP	T03403
D0E0JF	T03403
D0TG1H	T03403
D0Y7EM	T03403
D02IHW	T03403
D0D9JW	T03403
D0E2CZ	T03403
D0N3UL	T03403
D04SHO	T03403
D0Y2MP	T03403
D0GY5Z	T03403
D0E8MW	T03403
D03CFJ	T03403
D07OHO	T03403
D06YPU	T03403
D0S5RZ	T03403
D0T8VY	T03403
D0Y4OI	T03403
D0Y7BV	T03403
D0U5QK	T03403
D0Q3QS	T03403
D0R6AB	T03403
D05OQX	T03403
D0SU1G	T03403
D0F3IP	T03403
D0JF6O	T03403
D0S6GJ	T03403
D0I8QS	T03403
D0UL2L	T03403
D0H0IA	T03403
D0U5OU	T03403
D01IRW	T03403
D0X4JN	T03403
D00BDC	T03403
D08IFL	T03403
D0G2MW	T03403
D0LR4B	T03403
D0M9DC	T03403
D06FJO	T03403
D03XYW	T03403
D0M6JP	T03403
D0E0JF	T03403
D0TG1H	T03403
D0Y7EM	T03403
D02IHW	T03403
D0D9JW	T03403
D0E2CZ	T03403
D0N3UL	T03403
D04SHO	T03403
D0Y2MP	T03403
D0GY5Z	T03403
D0E8MW	T03403
D03CFJ	T03403
D07OHO	T03403
D06YPU	T03403
D0S5RZ	T03403
D0T8VY	T03403
D0Y4OI	T03403
D0Y7BV	T03403
D0U5QK	T03403
D0Q3QS	T03403
D0R6AB	T03403
D05OQX	T03403
D0SU1G	T03403
D0F3IP	T03403
D0JF6O	T03403
D0S6GJ	T03403
D0I8QS	T03403
D0A5IX	T03453
D0P9IA	T03453
D0G3YZ	T03500
D07MJD	T03500
D0L4EO	T03500
D0F2ME	T03500
D09MLQ	T03500
D0A5MV	T03500
D05THD	T03500
D0N6CD	T03500
D08ELY	T03500
D0S9OL	T03500
D0F4UT	T03500
D07KZL	T03500
D0C1EQ	T03500
D0A0FY	T03500
D0Y4GL	T03500
D0K0YX	T03500
D0LM2K	T03500
D06MGJ	T03500
D05JPV	T03500
D0K4ZP	T03500
D0B3UN	T03500
D02ECA	T03500
D0E5YG	T03500
