Drug	Gene
D07477	CHRM3
D03011	CHRM3
D03814	CHRM3
D01077	CHRM3
D00715	CHRM3
D01976	CHRM3
D01648	CHRM3
D07099	CHRM3
D07951	CHRM3
D02535	CHRM3
D06878	CHRM3
D04434	CHRM3
D10938	CHRM3
D00540	CHRM3
D05360	CHRM3
D00720	CHRM3
D05535	CHRM3
D01600	CHRM3
D01815	CHRM3
D07070	CHRM3
D01532	CHRM3
D01003	CHRM3
D01201	CHRM3
D08595	CHRM3
D00716	CHRM3
D10180	CHRM3
D10181	CHRM3
D08837	CHRM3
D01103	CHRM3
D08425	CHRM3
D00782	CHRM3
D08638	CHRM3
D00787	CHRM3
D07821	CHRM3
D03824	CHRM3
D08418	CHRM3
D08419	CHRM3
D00779	CHRM3
D02246	CHRM3
D03858	CHRM3
D03859	CHRM3
D01318	CHRM3
D08384	CHRM3
D01521	CHRM3
D03654	CHRM3
D01699	CHRM3
D03711	CHRM3
D07804	CHRM3
D07513	CHRM3
D03087	CHRM3
D08522	CHRM3
D01269	CHRM3
D00765	CHRM3
D00999	CHRM3
D02247	CHRM3
D01955	CHRM3
D00193	CHRM3
D07079	CHRM3
D01005	CHRM3
D00481	CHRM3
D02212	CHRM3
D07226	CHRM3
D08923	CHRM3
D10853	CHRM3
D04970	CHRM3
D01000	CHRM3
D00525	CHRM3
D05478	CHRM3
D02200	CHRM3
D01315	CHRM3
D07081	CHRM3
D00721	CHRM3
D00723	CHRM3
D01463	CHRM3
D01946	CHRM3
D01377	CHRM3
D03088	CHRM3
D07084	CHRM3
D01987	CHRM3
D08157	CHRM3
D03264	CHRM3
D06217	CHRM3
D00646	CHRM3
D01148	CHRM3
D05012	CHRM3
D10939	CHRM3
D06175	CHRM3
D06273	CHRM3
D04116	CHRM3
D05703	CHRM3
D05418	CHRM3
D01538	CHRM3
D00232	CHRM3
D01451	CHRM3
D07083	CHRM3
D06015	CHRM3
D01491	CHRM3
D03076	CHRM3
D08441	CHRM3
D01007	CHRM3
D08426	CHRM3
D03276	CHRM3
D01118	CHRM3
D04057	CHRM3
