drug	gene
DB00001	F2
DB00002	EGFR
DB00002	FCGR3B
DB00002	C1QA
DB00002	C1QB
DB00002	C1QC
DB00002	FCGR3A
DB00002	FCGR1A
DB00002	FCGR2A
DB00004	IL2RA
DB00004	IL2RB
DB00004	IL2RG
DB00005	TNF
DB00005	LTA
DB00005	FCGR1A
DB00005	FCGR2A
DB00005	FCGR2B
DB00005	FCGR2C
DB00005	FCGR3A
DB00005	FCGR3B
DB00006	F2
DB00007	GNRHR
DB00008	IFNAR2
DB00008	IFNAR1
DB00009	PLG
DB00009	FGA
DB00009	FGG
DB00009	SERPINE1
DB00010	GHRHR
DB00011	IFNAR1
DB00011	IFNAR2
DB00012	EPOR
DB00013	PLG
DB00013	PLAUR
DB00013	SERPINE1
DB00013	SERPINB2
DB00013	SERPINA5
DB00013	LRP2
DB00013	ST14
DB00013	NID1
DB00014	LHCGR
DB00014	GNRHR
DB00015	PLG
DB00015	FGA
DB00015	SERPINE1
DB00016	EPOR
DB00017	CALCR
DB00018	IFNAR1
DB00018	IFNAR2
DB00019	CSF3R
DB00020	CSF2RA
DB00020	IL3RA
DB00020	CSF2RB
DB00020	SDC2
DB00020	PRG2
DB00022	IFNAR1
DB00022	IFNAR2
DB00024	TSHR
DB00025	F10
DB00025	F9
DB00025	VWF
DB00025	PHYH
DB00025	ASGR2
DB00025	HSPA5
DB00025	CALR
DB00025	CANX
DB00025	LMAN1
DB00025	LRP1
DB00025	MCFD2
DB00026	IL1R1
DB00028	FCGR1A
DB00028	FCGR1B
DB00028	FCGR2A
DB00028	FCGR2B
DB00028	FCGR2C
DB00028	FCGR3A
DB00028	FCGR3B
DB00028	C3
DB00028	C4A
DB00028	C4B
DB00028	C5
DB00029	PLG
DB00029	FGA
DB00029	SERPINE1
DB00030	INSR
DB00030	IGF1R
DB00030	CPE
DB00030	NOV
DB00030	LRP2
DB00030	IGFBP7
DB00031	PLG
DB00031	FGA
DB00031	PLAUR
DB00031	SERPINE1
DB00031	SERPINB2
DB00031	CLEC3B
DB00031	KRT8
DB00031	ANXA2
DB00031	CALR
DB00031	CANX
DB00031	LRP1
DB00032	FSHR
DB00032	LHCGR
DB00033	IFNGR1
DB00033	IFNGR2
DB00034	IFNAR1
DB00034	IFNAR2
DB00035	AVPR2
DB00035	AVPR1A
DB00035	AVPR1B
DB00036	F10
DB00036	F3
DB00036	TFPI
DB00036	GGCX
DB00036	F7
DB00038	IL11RA
DB00039	FGFR2
DB00039	FGFR1
DB00039	HSPG2
DB00040	GCGR
DB00040	GLP2R
DB00040	GLP1R
DB00041	IL2RB
DB00041	IL2RA
DB00041	IL2RG
